Exposure,Outcome,Beta,Lower CI,Upper CI,P-value
log_LBCBR3,LBXTSH1,0.013099501136348854,-0.18122025638811817,0.2074192586608159,0.8948475619777192
log_LBCBR3,LBXT4F,-0.013670069908220117,-0.03439821001734815,0.0070580702009079115,0.1960638488700053
log_LBCBR3,LBDTCSI,0.09441029643868777,-0.055012387029100954,0.2438329799064765,0.21547863382457716
log_LBCBR3,LBDHDD,0.16741339000178299,-1.8049529453518542,2.13977972535542,0.8678260780067567
log_LBCBR3,LBDTRSI,0.14207633963375454,0.041300756291079335,0.24285192297642977,0.005740837133864833
log_LBCBR3,LBDLDL,0.9390532701281347,-4.108308090669571,5.9864146309258395,0.7152790236244169
log_LBCBR3,HOMA_IR,0.41029679422790316,0.02760885955843928,0.792984728897367,0.03561892297120376
log_LBCBR5,LBXTSH1,-0.04208101756455147,-0.20597501996404816,0.1218129848349452,0.6146791419099422
log_LBCBR5,LBXT4F,-0.016099131496329806,-0.03357729616928571,0.0013790331766260974,0.07100880924322797
log_LBCBR5,LBDTCSI,0.04773630038881771,-0.078319358394213,0.17379195917184842,0.4578127876658569
log_LBCBR5,LBDHDD,-0.5471935685173605,-2.210687517023487,1.116300379988766,0.5189769811659214
log_LBCBR5,LBDTRSI,0.10612356012180336,0.021096817422571065,0.19115030282103568,0.014454051804559812
log_LBCBR5,LBDLDL,0.4915247123280046,-3.7657972423290724,4.748846666985082,0.8209164461831584
log_LBCBR5,HOMA_IR,0.3572044494904279,0.03443937436526823,0.6799695246155876,0.030088915152114256
log_LBCBR4,LBXTSH1,0.007508013335588009,-0.1548211222916192,0.16983714896279523,0.9277432228149995
log_LBCBR4,LBXT4F,-0.021266991021740848,-0.03856918743971348,-0.00396479460376822,0.01601188592796695
log_LBCBR4,LBDTCSI,0.07639767406961909,-0.048427744554700405,0.20122309269393857,0.23020136479878658
log_LBCBR4,LBDHDD,0.020534954775995613,-1.6271286852420253,1.6681985947940166,0.9805048205136712
log_LBCBR4,LBDTRSI,0.11396216437370651,0.029767834787510744,0.19815649395990229,0.007998499355739753
log_LBCBR4,LBDLDL,0.8893714829206104,-3.327011504080929,5.10575446992215,0.679194382574747
log_LBCBR4,HOMA_IR,0.2748018142843009,-0.04497915049997159,0.5945827790685734,0.0920962093236173
log_LBCBR6,LBXTSH1,0.02012321976471748,-0.16445071692341456,0.20469715645284953,0.8307326790886798
log_LBCBR6,LBXT4F,-0.01740077336931111,-0.037084493116627905,0.0022829463780056833,0.08313452215533476
log_LBCBR6,LBDTCSI,0.12704707815575886,-0.014840958752890598,0.2689351150644083,0.07924478655826031
log_LBCBR6,LBDHDD,0.2300241534179298,-1.643420340357883,2.103468647193743,0.8097621295844011
log_LBCBR6,LBDTRSI,0.12155888483142702,0.025811059969402528,0.2173067096934515,0.012854764406715213
log_LBCBR6,LBDLDL,2.504666701895341,-2.2887497770704655,7.298083180861147,0.30564915119492553
log_LBCBR6,HOMA_IR,0.1621806155779174,-0.20156617637915597,0.5259274075349908,0.38204995818528326
log_LBCBR7,LBXTSH1,0.15962260002588646,-0.014618946127190113,0.33386414617896304,0.07255393973921555
log_LBCBR7,LBXT4F,-0.03293385457096899,-0.051495067654393836,-0.014372641487544153,0.00051096678105951
log_LBCBR7,LBDTCSI,0.41744772306551703,0.2842887956512198,0.5506066504798143,9.0725646929499e-10
log_LBCBR7,LBDHDD,0.592915617308641,-1.1765886995639665,2.3624199341812484,0.5112164500873828
log_LBCBR7,LBDTRSI,0.19156073542017782,0.10130714310417079,0.28181432773618487,3.2569872708647806e-05
log_LBCBR7,LBDLDL,12.148996445166537,7.643970293702932,16.654022596630142,1.33749867328263e-07
log_LBCBR7,HOMA_IR,-0.2511267149739835,-0.5946332702458746,0.09237984029790769,0.15182679968313564
